car, image_link, price, description
BMW X7,https://im.mashina.kg/tachka/images//e/6/6/e6678b8f519836a9b44b626e3fc8d0d5_640x480.jpg,16 257 800 сом,"BMW X7 40i 
Черного цвета 
Салон Сенсафин Коньяк 

Комплектация:
01CB Объем CO2
01CE Рекуперационная система
01CR REMOTE ENGINE START
01DR Норма токсичности ОГ SULEV30
01XE 21"" л/с диск Y-обр.спицы 752 авар.режим
0212 Оснащение тормозной системой экспорт.
0255 Спортивное рулевое колесо с НПБ кожа
0258 Шины допускающие движ.в аварийном режиме
02TB Спортивная АКПП
02VB Индикация давления в шинах
0302 Система сигнализации
0319 Встр.универсал.дистанционное управление
0322 Комфортный доступ
0323 Автодоводчик дверей
0328 Порог алюминиевый
03AT Полозья баг.на кр., сатиниров.алюм.
03MB Инд.отд.Exterieur Line, сатиниров.алюм.
0417 Солнецезащитная штора окна двери Зд
0418 Комплект для багажного отделения
0420 Солнце защитное остекление
0423 Ножные коврики Velours
0456 Сиденье повыш.комфортн. с памятью полож.
04A2 Стеклянная накладка Crafted clarity
04FL Багажная система Travel & Comfort
04HB Пакет Waermekomfort Пд
04KT Цен.древ.тополь антр.кор.с откр.порами
04U5 6-местный
04U9 Акустическая защита пешеходов
04UR Сопровождающее освещение салона
05AC Автоматическое включение дальнего света
05AL Active Protection
05AP Декодир.сист.упр.неослепл.дальним свет.
05AS Driving Assistant
05DM Система парковки
0645 Радиоприемник BMW для США
0655 спутниковый радиоприемник BMW
0688 Harman/Kardon система объемного звучания
06AC Интеллектуальный экстренный вызов
06AE Teleservices
06AK Connected Drive Services
06C4 Connected Package Professional
06NX Лоток для беспроводной зарядки
06PA Персональная eSIM
06U3 BMW Live кокпит Professional
06U8 Система управления жестами BMW
0823 Исполнение для жарких стран
0842 Исполнение для стран с холодным климатом
0845 Акустич.предупрежд.неприст.ремня безоп.
08KL Интервал замены масла 15 000 км/12 мес.
08R9 Хладагент R1234yf
08SM Идентификационный номер виден снаружи
08TN Дневн.ходов.огни регул.через меню света
0992 Управление креплением номерного знака
09AA ЗАЩИТА ПОКРЫТИЯ КУЗОВА
A090 Аккумулятор AGM 90 ампер-час"
Hyundai Santa Fe,https://im.mashina.kg/tachka/images//5/d/8/5d8d05d5ba9a37cb300c58d25942aaa1_640x480.jpg,4 420 000 сом,"Хендай Санта Фе- это среднеразмерный кроссовер. С переходом на новую платформу, он немного увеличился во всех направлениях. Его габаритные размеры составляют: длина 4770 мм, ширина 1890 мм, высота 1680 мм, а колесная база- 2765 мм. Клиренс модели нельзя назвать внушительным- всего 185 миллиметров. Благодаря такой посадке, автомобиль легче перенесет поездку по грунтовке, сможет заехать на бордюр средней величины и, благодаря длинноходной подвеске, сохранит приемлемую плавность хода, даже на относительно неровном покрытии."
Hyundai Tucson,https://im.mashina.kg/tachka/images//d/1/c/d1c6bf773fbeb37494f1bd5ff79c8fed_640x480.jpg,3 357 500 сом,"Hyundai Tucson призван быть одним из самых стильных в своем классе и лучшим по оснащению и цене. Одной из отличительных особенностей нового вседорожника является просторный салон, в котором водитель и пассажиры будут чувствовать себя очень комфортно.

Начиная с надежной пространственной структуры кузова и заканчивая просчитанными на компьютере зонами смещения и деформации Хюндай Туксон (Туссан) спроектирован с соблюдением всех требований безопасности."
Hyundai Palisade,https://im.mashina.kg/tachka/images//5/3/8/538d5d45434c5fb62da8bceef34a8344_640x480.jpg,6 043 500 сом,"Hyundai Palisade - 7-местный полноразмерный кроссовер 2023 модельного года.  
В комплектацию входит: 
20-дюймовые колеса + шины; 
камера кругового обзора 360;
передние и задние светодиодные фары LED;
обдув передних сидений и 2-го ряда;
подогрев передних и задних сидений;
электропривод передних сидений;
функция памяти водительского сиденья; 
кожаная отделка сидений « NAPPA»;
кожаная отделка рулевого колеса с подогревом; 
полноразмерное запасное колесо;
7-дюймовый щиток приборов / 10,25-дюймовый дисплей аудиосистемы системы (поддержка Apple Carplay / Android Auto);
беспроводная зарядка для смартфона;
Keyless go + кнопка «Push start»;
проекционный дисплей «TFT LCD TYPE»;
система слепых зон «BCW»; 
система слежения полосы движения «LKA»;
система при парковке передние/задние."
Hyundai Sonata,https://im.mashina.kg/tachka/images//3/e/3/3e39000cc2bb2fdf7539c6efa1c4db3f_640x480.jpg,3 323 500 сом,"Hyundai Sonata 2022 года – это седан бизнес-класса от южнокорейского бренда. Автомобиль полюбился за красивый дизайн, отличные технические характеристики, надежность и «богатое» оснащение.
В комплектацию входит :
Легкосплавные 18-дюймовые диски;
передние фары светодиодные;
электроусилитель рулевого колеса;
сенсор дождя;
дневные ходовые огни на светодиодах;
многофункциональный руль;
динамическое освещение поворотов;
несколько режимов движения с соответствующим переключателем;
круиз-контроль;
мониторинг давления в шинах;
датчики парковки спереди и сзади;
наружные зеркала с электрорегулировкой и подогревом;
беспроводная зарядка для телефона;
полноразмерное запасное колесо."
Toyota HiAce,https://im.mashina.kg/tachka/images//5/c/b/5cb87eab68b141f41dadb381845048d1_640x480.jpg,5 580 000 сом,"ЭКСТЕРЬЕР
- Полноразмерное запасное колесо 
- Передние галогеновые фары 
- Передние и задние противотуманные фонари 
- Галогеновые дневные ходовые огни 
- Механическая регулировка фар 
- Повторители поворота на боковых зеркалах 
- Боковые зеркала заднего вида с электроприводом регулировок 
- Передние и задние брызговики 
- Задний дворник 
- Обогрев заднего стекла 
- Топливный бак 70л 
- 16"" стальные диски, шины 235/65R16

КОМФОРТ
- Подстаканники - 4 шт. 
- Кондиционер 
- Блок задних воздуховодов с индивидуальной регулировкой 
- Дополнительный отопитель салона 
- Без подогрева передних сидений 
- Механическая регулировка рулевой колонки по углу наклона и вылету 
- Мультифункциональное уретановое рулевое колесо и рычаг КПП 
- Тканевый салон 
- Салонное зеркало заднего вида с функцией ""день/ночь""

МУЛЬТИМЕДИА
- Цветной 4.2 мультиинформационный TFT дисплей 
- Аудиоподготовка AM/FM/CD/Bluetooth, 2 динамика 
- Две розетки 12V 
- Разъемы 1 USB+ 1 AUX

БЕЗОПАСНОСТЬ
- 2 фронтальные подушки безопасности первого ряда (Водитель + пассажир) 
- Система курсовой устойчивости (VSC) 
- Система помощи при старте на подъеме (HAC) 
- Система экстренного вызова"
Toyota Corolla,https://im.mashina.kg/tachka/images//6/8/b/68b02f1e451c2eba5cc885156155783c_640x480.jpg,2 880 000 сом,"На этот автомобиль действует рассрочка без % на 1 год!
Подробности по телефону 0 999 440 095

ЭКСТЕРЬЕР
- Галогенные фары ближнего и дальнего света
- Светодиодные дневные ходовые огни
- Электрокорректор угла наклона фар с ручным управлением
- Светодиодные противотуманные фары
- Светодиодные задние фонари
- Светодиодный задний противотуманный фонарь
- Система головного освещения с автоматическим отключением ""Follow me home""
- Легкосплавные колесные диски
- Шины 205/55R16
- Полноразмерное запасное колесо
- Некрашеная чёрная нижняя решётка радиатора
- Серебристые молдинги переднего бампера
- Антенна ""плавник акулы""
- Ручки дверей окрашенные в цвет кузова
- Xромированные молдинги верхней линии остекления

КОМФОРТ
- Кожаная отделка рулевого колеса
- Мультифункциональное рулевое колесо
- Механическая регулировка рулевой колонки по вылету и наклону
- Кожаная отделка селектора КПП
- Мягкая отделка центральной консоли
- Прострочка нижней части центральной консоли
- Расширенный пакет хромированной отделки центральной консоли и дверей
- Тканевая отделка центрального подлокотника
- Тканевая отделка дверных подлокотников
- Два подстаканника для передних пассажиров
- Подсветка перчаточного ящика
- Датчик света
- Передние и задние стеклоподъёмники с функцией ""Auto""
- Круиз-контроль
- Камера заднего вида со статическими линиями разметки
- Система контроля давления в шинах
- 12V розетка в боксе переднего подлокотника
- Цветной информационный 4.2"" дисплей на панели приборов
- Электрорегулировка боковых зеркал заднего вида
- 2-х зонный климат-контроль с функцией интеллектуального управления
- Обивка сидений тканью с контрастной прострочкой
- Механическая регулировка водительского сидения в 6 направлениях
- Механическая регулировка переднего пассажирского сидения в 4 направлениях
- Центральный подлокотник
- Карман на спинке переднего пассажирского сиденья
- Складываемый второй ряд сидений в пропорции 60:40
- Регулируемые подголовники задних боковых сидений
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- 6 динамиков
- Мультимедийная система CY'19(AM/FM; MP3/WMA/WAV/FLAC/ALAC/OGG Vorbis)
- Поддержка Apple Carplay© и Android Auto©
- 8-дюймовый цветной сенсорный дисплей мультимедийной системы
- Коммуникационная система Bluetooth ©
- Разъем USB для подключения внешних устройств

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Система распределения тормозных усилий (EBD)
- Усилитель экстренного торможения (BAS)
- Система аварийной сигнализации аварийной остановки (EBS)
- Антипробуксовочная система (TRC)
- Система курсовой устойчивости (VSC+)
- Система помощи при подъеме по склону (HAC)
- Фронтальные подушки безопасности
- Боковые подушки безопасности для первого ряда сидений
- Выключатель подушки безопасности переднего пассажира
- Крепления ISOFIX для детских автокресел
- Система вызова экстренных оперативных служб “Эра Глонасс”

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Иммобилайзер
- Центральный замок с дистанционным управлением
- Сигнализация
- Энергонезависимая сирена сигнализации
- Датчик объёма

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Подогрев передних сидений
- Подогрев боковых зеркал заднего вида
- Электрообогрев рулевого колеса
- Электрообогрев лобового стекла в зоне покоя стеклоочистителей
- Дополнительный электрический отопитель салона
- Дополнительные воздуховоды для второго ряда сидений
- Индикатор низкого уровня омывающей жидкости
- Бачок стеклоомывателя увеличенного объёма (4,8 л)"
Toyota C-HR,https://im.mashina.kg/tachka/images//6/9/5/695f67d04e125fcd94d2a1299e460cda_640x480.jpg,3 645 000 сом,"ЭКСТЕРЬЕР
- Светодиодные фары ближнего и дальнего света 
- Омыватель фар 
- Передние противотуманные фары 
- Частично светодиодные задние фонари 
- Наружные ручки дверей окрашенные в цвет кузова 
- Шины 215/60 R17 
- Легкосплавные колесные диски 
- Неполноразмерное запасное колесо (докатка) 
- Светодиодные дневные ходовые огни

КОМФОРТ
- Сиденье водителя с регулировкой поясничной опоры 
- Датчики давления в шинах 
- Комбинированная обивка сидений тканью и искусственной кожей 
- Центральный подлокотник 
- Система выбора режимов движения ECO/NORMAL/SPORT 
- Складываемый второй ряд сидений в пропорции 60:40 
- Круиз-контроль 
- Цветной дисплей на панели приборов TFT 4.2'' 
- Задние датчики парковки 
- Камера заднего вида со статическими линиями разметки 
- Интеллектуальная система доступа в автомобиль и запуск двигателя нажатием кнопки Smart Entry & Push Start 
- Передние датчики парковки 
- Датчик света 
- Система головного освещения с автоматическим отключением ""Follow me home"" 
- Двухзонный климат-контроль 
- Электрохромное внутрисалонное зеркало заднего вида 
- Боковые зеркала заднего вида с электрорегулировкой и электроприводом автоматического складывания
- Передние и задние электростеклоподъемники с функцией ""auto"" 
- Регулировка рулевой колонки по вылету и наклону 
- Мультифункциональное рулевое колесо с кожаной обивкой 
- Электроусилитель рулевого управления (EPS) 
- Датчик дождя

МУЛЬТИМЕДИА
- Мультимедийная система CY'19 (AM/FM; MP3/WMA/WAV/FLAC/ALAC/OGG Vorbis) 
- 8” цветной LCD дисплей на центральной консоли 
- USB разъем 
- Коммуникационная система Bluetooth 
- Аудиосистема с 6 динамиками 
- Поддержка Apple Carplay© и Android Auto©

БЕЗОПАСНОСТЬ
- Система вызова экстренных оперативных служб “Эра Глонасс” 
- Усилитель экстренного торможения (BAS) 
- Крепления ISOFIX для детских автокресел 
- Шторки безопасности для всех рядов сидений 
- Боковые подушки безопасности 
- Фронтальные подушки безопасности 
- Система помощи при подъеме по склону (HAC) 
- Система курсовой устойчивости VSC+: (VSC-EPS) 
- Антипробуксовочная система (TRC) 
- Электронная система распределения тормозных усилий (EBD) 
- Антиблокировочная система (ABS)

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с дистанционным управлением 
- Иммобилайзер

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Индикатор уровня омывающей жидкости 
- Обогрев рулевого колеса 
- Электрообогрев лобового стекла в зоне стеклоочистителей 
- Боковые зеркала заднего вида с обогревом 
- Обогрев передних сидений 
- Дополнительный электрический отопитель салона"
Toyota C-HR,https://im.mashina.kg/tachka/images//5/1/e/51e1d6dbf71d1e90ee8b0e1354a42870_640x480.jpg,3 645 000 сом,"ЭКСТЕРЬЕР
- Светодиодные фары ближнего и дальнего света 
- Омыватель фар 
- Передние противотуманные фары 
- Частично светодиодные задние фонари 
- Наружные ручки дверей окрашенные в цвет кузова 
- Шины 215/60 R17 
- Легкосплавные колесные диски 
- Неполноразмерное запасное колесо (докатка) 
- Светодиодные дневные ходовые огни

КОМФОРТ
- Сиденье водителя с регулировкой поясничной опоры 
- Датчики давления в шинах 
- Комбинированная обивка сидений тканью и искусственной кожей 
- Центральный подлокотник 
- Система выбора режимов движения ECO/NORMAL/SPORT 
- Складываемый второй ряд сидений в пропорции 60:40 
- Круиз-контроль 
- Цветной дисплей на панели приборов TFT 4.2'' 
- Задние датчики парковки 
- Камера заднего вида со статическими линиями разметки 
- Интеллектуальная система доступа в автомобиль и запуск двигателя нажатием кнопки Smart Entry & Push Start 
- Передние датчики парковки 
- Датчик света 
- Система головного освещения с автоматическим отключением ""Follow me home"" 
- Двухзонный климат-контроль 
- Электрохромное внутрисалонное зеркало заднего вида 
- Боковые зеркала заднего вида с электрорегулировкой и электроприводом автоматического складывания
- Передние и задние электростеклоподъемники с функцией ""auto"" 
- Регулировка рулевой колонки по вылету и наклону 
- Мультифункциональное рулевое колесо с кожаной обивкой 
- Электроусилитель рулевого управления (EPS) 
- Датчик дождя

МУЛЬТИМЕДИА
- Мультимедийная система CY'19 (AM/FM; MP3/WMA/WAV/FLAC/ALAC/OGG Vorbis) 
- 8” цветной LCD дисплей на центральной консоли 
- USB разъем 
- Коммуникационная система Bluetooth 
- Аудиосистема с 6 динамиками 
- Поддержка Apple Carplay© и Android Auto©

БЕЗОПАСНОСТЬ
- Система вызова экстренных оперативных служб “Эра Глонасс” 
- Усилитель экстренного торможения (BAS) 
- Крепления ISOFIX для детских автокресел 
- Шторки безопасности для всех рядов сидений 
- Боковые подушки безопасности 
- Фронтальные подушки безопасности 
- Система помощи при подъеме по склону (HAC) 
- Система курсовой устойчивости VSC+: (VSC-EPS) 
- Антипробуксовочная система (TRC) 
- Электронная система распределения тормозных усилий (EBD) 
- Антиблокировочная система (ABS)

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с дистанционным управлением 
- Иммобилайзер

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Индикатор уровня омывающей жидкости 
- Обогрев рулевого колеса 
- Электрообогрев лобового стекла в зоне стеклоочистителей 
- Боковые зеркала заднего вида с обогревом 
- Обогрев передних сидений 
- Дополнительный электрический отопитель салона"
Toyota C-HR,https://im.mashina.kg/tachka/images//1/e/6/1e6ebcd19d0c14fa060d327a4423dda4_640x480.jpg,3 420 000 сом,"ЭКСТЕРЬЕР
- Светодиодные фары ближнего и дальнего света 
- Омыватель фар 
- Передние противотуманные фары 
- Частично светодиодные задние фонари 
- Наружные ручки дверей окрашенные в цвет кузова 
- Шины 215/60 R17 
- Легкосплавные колесные диски 
- Неполноразмерное запасное колесо (докатка) 
- Светодиодные дневные ходовые огни

КОМФОРТ
- Сиденье водителя с регулировкой поясничной опоры 
- Датчики давления в шинах 
- Комбинированная обивка сидений тканью и искусственной кожей 
- Центральный подлокотник 
- Система выбора режимов движения ECO/NORMAL/SPORT 
- Складываемый второй ряд сидений в пропорции 60:40 
- Круиз-контроль 
- Цветной дисплей на панели приборов TFT 4.2'' 
- Задние датчики парковки 
- Камера заднего вида со статическими линиями разметки 
- Интеллектуальная система доступа в автомобиль и запуск двигателя нажатием кнопки Smart Entry & Push Start 
- Передние датчики парковки 
- Датчик света 
- Система головного освещения с автоматическим отключением ""Follow me home"" 
- Двухзонный климат-контроль 
- Электрохромное внутрисалонное зеркало заднего вида 
- Боковые зеркала заднего вида с электрорегулировкой и электроприводом автоматического складывания 
- Передние и задние электростеклоподъемники с функцией ""auto"" 
- Регулировка рулевой колонки по вылету и наклону 
- Мультифункциональное рулевое колесо с кожаной обивкой 
- Электроусилитель рулевого управления (EPS) 
- Датчик дождя

МУЛЬТИМЕДИА
- Мультимедийная система CY'19 (AM/FM; MP3/WMA/WAV/FLAC/ALAC/OGG Vorbis) 
- 8” цветной LCD дисплей на центральной консоли 
- USB разъем 
- Коммуникационная система Bluetooth Аудиосистема с 6 динамиками 
- Поддержка Apple Carplay© и Android Auto©

БЕЗОПАСНОСТЬ
- Система вызова экстренных оперативных служб “Эра Глонасс” 
- Усилитель экстренного торможения (BAS) 
- Крепления ISOFIX для детских автокресел 
- Шторки безопасности для всех рядов сидений 
- Боковые подушки безопасности 
- Фронтальные подушки безопасности 
- Система помощи при подъеме по склону (HAC) 
- Система курсовой устойчивости VSC+: (VSC-EPS) 
- Антипробуксовочная система (TRC) 
- Электронная система распределения тормозных усилий (EBD) 
- Антиблокировочная система (ABS)

ПРОТИВОУГОННАЯ СИСТЕМА
- Центральный замок с дистанционным управлением 
- Иммобилайзер

ПАКЕТ ""ЗИМНИЙ КОМФОРТ""
- Индикатор уровня омывающей жидкости 
- Обогрев рулевого колеса 
- Электрообогрев лобового стекла в зоне стеклоочистителей 
- Боковые зеркала заднего вида с обогревом 
- Обогрев передних сидений 
- Дополнительный электрический отопитель салона"
